run,repetition,module,name,value
General-18-20221231-12:32:37-2248,18,OpportunisticCellularNetwork.cellular[6],userResponseTime:mean,0.00052966450732486
General-18-20221231-12:32:37-2248,18,OpportunisticCellularNetwork.cellular[7],userResponseTime:mean,0.00051347181460336
General-18-20221231-12:32:37-2248,18,OpportunisticCellularNetwork.cellular[8],userResponseTime:mean,0.00052571298588618
General-18-20221231-12:32:37-2248,18,OpportunisticCellularNetwork.cellular[9],userResponseTime:mean,0.00052108851753853
General-19-20221231-12:32:37-13736,19,OpportunisticCellularNetwork.cellular[0],userResponseTime:mean,0.00052405070154823
General-19-20221231-12:32:37-13736,19,OpportunisticCellularNetwork.cellular[1],userResponseTime:mean,0.00052106464275043
General-19-20221231-12:32:37-13736,19,OpportunisticCellularNetwork.cellular[2],userResponseTime:mean,0.0005334002896233
General-19-20221231-12:32:37-13736,19,OpportunisticCellularNetwork.cellular[3],userResponseTime:mean,0.00051421110152102
General-19-20221231-12:32:37-13736,19,OpportunisticCellularNetwork.cellular[4],userResponseTime:mean,0.00049087570391897
General-19-20221231-12:32:37-13736,19,OpportunisticCellularNetwork.cellular[5],userResponseTime:mean,0.00050904369699327
General-19-20221231-12:32:37-13736,19,OpportunisticCellularNetwork.cellular[6],userResponseTime:mean,0.00051056623989796
General-19-20221231-12:32:37-13736,19,OpportunisticCellularNetwork.cellular[7],userResponseTime:mean,0.00052582505878606
General-19-20221231-12:32:37-13736,19,OpportunisticCellularNetwork.cellular[8],userResponseTime:mean,0.00052547527599618
General-19-20221231-12:32:37-13736,19,OpportunisticCellularNetwork.cellular[9],userResponseTime:mean,0.00053610404837987
General-20-20221231-12:32:38-10952,20,OpportunisticCellularNetwork.cellular[0],userResponseTime:mean,0.00053489279596329
General-20-20221231-12:32:38-10952,20,OpportunisticCellularNetwork.cellular[1],userResponseTime:mean,0.00051762836379528
General-20-20221231-12:32:38-10952,20,OpportunisticCellularNetwork.cellular[2],userResponseTime:mean,0.00052233530476342
General-20-20221231-12:32:38-10952,20,OpportunisticCellularNetwork.cellular[3],userResponseTime:mean,0.00052128453613481
General-20-20221231-12:32:38-10952,20,OpportunisticCellularNetwork.cellular[4],userResponseTime:mean,0.00051997944086051
General-20-20221231-12:32:38-10952,20,OpportunisticCellularNetwork.cellular[5],userResponseTime:mean,0.00052183108253352
General-20-20221231-12:32:38-10952,20,OpportunisticCellularNetwork.cellular[6],userResponseTime:mean,0.00052437330254688
General-20-20221231-12:32:38-10952,20,OpportunisticCellularNetwork.cellular[7],userResponseTime:mean,0.00052829192200979
General-20-20221231-12:32:38-10952,20,OpportunisticCellularNetwork.cellular[8],userResponseTime:mean,0.00050274098985133
General-20-20221231-12:32:38-10952,20,OpportunisticCellularNetwork.cellular[9],userResponseTime:mean,0.00051988094678911
General-21-20221231-12:32:38-15484,21,OpportunisticCellularNetwork.cellular[0],userResponseTime:mean,0.00052024542640059
General-21-20221231-12:32:38-15484,21,OpportunisticCellularNetwork.cellular[1],userResponseTime:mean,0.0005132416505448
General-21-20221231-12:32:38-15484,21,OpportunisticCellularNetwork.cellular[2],userResponseTime:mean,0.00051680059540114
General-21-20221231-12:32:38-15484,21,OpportunisticCellularNetwork.cellular[3],userResponseTime:mean,0.00053221475760079
General-21-20221231-12:32:38-15484,21,OpportunisticCellularNetwork.cellular[4],userResponseTime:mean,0.00051234432366334
General-21-20221231-12:32:38-15484,21,OpportunisticCellularNetwork.cellular[5],userResponseTime:mean,0.0005339907770337
General-21-20221231-12:32:38-15484,21,OpportunisticCellularNetwork.cellular[6],userResponseTime:mean,0.00051040406440479
General-21-20221231-12:32:38-15484,21,OpportunisticCellularNetwork.cellular[7],userResponseTime:mean,0.00053613888543941
General-21-20221231-12:32:38-15484,21,OpportunisticCellularNetwork.cellular[8],userResponseTime:mean,0.00052327466194229
General-21-20221231-12:32:38-15484,21,OpportunisticCellularNetwork.cellular[9],userResponseTime:mean,0.00052846763908937
General-22-20221231-12:32:38-15804,22,OpportunisticCellularNetwork.cellular[0],userResponseTime:mean,0.0005186535264389
General-22-20221231-12:32:38-15804,22,OpportunisticCellularNetwork.cellular[1],userResponseTime:mean,0.00050844808349714
General-22-20221231-12:32:38-15804,22,OpportunisticCellularNetwork.cellular[2],userResponseTime:mean,0.00052351025553892
General-22-20221231-12:32:38-15804,22,OpportunisticCellularNetwork.cellular[3],userResponseTime:mean,0.0005087198684526
General-22-20221231-12:32:38-15804,22,OpportunisticCellularNetwork.cellular[4],userResponseTime:mean,0.00053819939363923
General-22-20221231-12:32:38-15804,22,OpportunisticCellularNetwork.cellular[5],userResponseTime:mean,0.00050746917210732
General-22-20221231-12:32:38-15804,22,OpportunisticCellularNetwork.cellular[6],userResponseTime:mean,0.00052259753576863
General-22-20221231-12:32:38-15804,22,OpportunisticCellularNetwork.cellular[7],userResponseTime:mean,0.00051407477509492
